Experiment,NumClients,DataSize,RingDimension,T_Aggregate_ms,T_Decode_ms,T_ServerTotal_ms
ScalingClients,10,65536,131072,29.1069,411.32,440.427
ScalingClients,50,65536,131072,34.9714,405.304,440.275
ScalingClients,100,65536,131072,56.874,383.333,440.207
ScalingClients,200,65536,131072,119.218,379.678,498.896
ScalingClients,350,65536,131072,171.559,371.583,543.142
ScalingDataSize,500,4095,16384,16.7321,42.0216,58.7536
ScalingDataSize,500,8192,16384,15.7621,46.3706,62.1328
ScalingDataSize,500,16384,32768,34.4998,88.4188,122.919
ScalingDataSize,500,32768,65536,-2778.94,183.702,-2595.23
ScalingDataSize,500,50000,131072,310.506,351.147,661.653
ScalingDataSize,500,65536,131072,215.202,356.921,572.123
